"OID","Country or Area","Year","Description","Magnitude","Value"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2009","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.275"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2009","SAVINGS RATE","PERCENT PER ANNU","7.0775"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2009","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","0.1"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2009","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.9958"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2009","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.06417"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2008","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.2508"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2008","SAVINGS RATE","PERCENT PER ANNU","7.49627"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2008","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.23161"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2008","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.2549"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2008","LENDING RATE","PERCENT PER ANNU","14.9175"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2008","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.02097"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2007","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.32799"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2007","SAVINGS RATE","PERCENT PER ANNU","5.37286"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2007","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.5267"
"51260B..ZF...","AFGHANISTAN, I.R. OF","2007","MONEY MARKET RATE","PERCENT PER ANNU","5.65"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2007","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.4485"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2007","LENDING RATE","PERCENT PER ANNU","18.135"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2007","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.15165"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2006","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","3.49"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2006","SAVINGS RATE","PERCENT PER ANNU","5.02"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2006","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.23"
"51260B..ZF...","AFGHANISTAN, I.R. OF","2006","MONEY MARKET RATE","PERCENT PER ANNU","2.5"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2006","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","17.48"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2006","LENDING RATE","PERCENT PER ANNU","17.97"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2006","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.91"
"91460C..ZF...","ALBANIA","2009","TREASURY BILL RATE","PERCENT PER ANNU","6.27329"
"91460P..ZF...","ALBANIA","2009","LENDING RATE","PERCENT PER ANNU","12.6609"
"91460L..ZF...","ALBANIA","2009","DEPOSIT RATE","PERCENT PER ANNU","6.77244"
"91460...ZF...","ALBANIA","2009","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5.25"
"91460C..ZF...","ALBANIA","2008","TREASURY BILL RATE","PERCENT PER ANNU","6.24174"
"91460P..ZF...","ALBANIA","2008","LENDING RATE","PERCENT PER ANNU","13.0196"
"91460L..ZF...","ALBANIA","2008","DEPOSIT RATE","PERCENT PER ANNU","6.80274"
"91460...ZF...","ALBANIA","2008","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","6.25"
"91460C..ZF...","ALBANIA","2007","TREASURY BILL RATE","PERCENT PER ANNU","5.93237"
"91460P..ZF...","ALBANIA","2007","LENDING RATE","PERCENT PER ANNU","14.0996"
"91460L..ZF...","ALBANIA","2007","DEPOSIT RATE","PERCENT PER ANNU","5.6591"
"91460...ZF...","ALBANIA","2007","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","6.25"
"91460C..ZF...","ALBANIA","2006","TREASURY BILL RATE","PERCENT PER ANNU","5.48913"
"91460P..ZF...","ALBANIA","2006","LENDING RATE","PERCENT PER ANNU","12.9399"
"91460L..ZF...","ALBANIA","2006","DEPOSIT RATE","PERCENT PER ANNU","5.22743"
"91460...ZF...","ALBANIA","2006","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"91460C..ZF...","ALBANIA","2005","TREASURY BILL RATE","PERCENT PER ANNU","5.52174"
"91460P..ZF...","ALBANIA","2005","LENDING RATE","PERCENT PER ANNU","13.075"
"91460L..ZF...","ALBANIA","2005","DEPOSIT RATE","PERCENT PER ANNU","5.08755"
"91460...ZF...","ALBANIA","2005","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5"
"91460C..ZF...","ALBANIA","2004","TREASURY BILL RATE","PERCENT PER ANNU","6.7937"
"91460P..ZF...","ALBANIA","2004","LENDING RATE","PERCENT PER ANNU","11.7615"
"91460L..ZF...","ALBANIA","2004","DEPOSIT RATE","PERCENT PER ANNU","6.60669"
"91460...ZF...","ALBANIA","2004","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5.25"
"91460C..ZF...","ALBANIA","2003","TREASURY BILL RATE","PERCENT PER ANNU","8.80972"
"91460P..ZF...","ALBANIA","2003","LENDING RATE","PERCENT PER ANNU","14.2708"
"91460L..ZF...","ALBANIA","2003","DEPOSIT RATE","PERCENT PER ANNU","8.3755"
"91460...ZF...","ALBANIA","2003","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"91460C..ZF...","ALBANIA","2002","TREASURY BILL RATE","PERCENT PER ANNU","9.48704"
"91460P..ZF...","ALBANIA","2002","LENDING RATE","PERCENT PER ANNU","15.3042"
"91460L..ZF...","ALBANIA","2002","DEPOSIT RATE","PERCENT PER ANNU","8.53833"
"91460...ZF...","ALBANIA","2002","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","8.5"
"91460C..ZF...","ALBANIA","2001","TREASURY BILL RATE","PERCENT PER ANNU","7.72126"
"91460P..ZF...","ALBANIA","2001","LENDING RATE","PERCENT PER ANNU","19.6542"
"91460L..ZF...","ALBANIA","2001","DEPOSIT RATE","PERCENT PER ANNU","7.725"
"91460...ZF...","ALBANIA","2001","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"91460C..ZF...","ALBANIA","2000","TREASURY BILL RATE","PERCENT PER ANNU","10.8041"
"91460P..ZF...","ALBANIA","2000","LENDING RATE","PERCENT PER ANNU","22.1025"
"91460L..ZF...","ALBANIA","2000","DEPOSIT RATE","PERCENT PER ANNU","8.3025"
"91460...ZF...","ALBANIA","2000","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","10.82"
"91460C..ZF...","ALBANIA","1999","TREASURY BILL RATE","PERCENT PER ANNU","17.5367"
"91460P..ZF...","ALBANIA","1999","LENDING RATE","PERCENT PER ANNU","21.615"
"91460L..ZF...","ALBANIA","1999","DEPOSIT RATE","PERCENT PER ANNU","12.9458"
"91460...ZF...","ALBANIA","1999","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","18"
"91460C..ZF...","ALBANIA","1998","TREASURY BILL RATE","PERCENT PER ANNU","27.4908"
"91460L..ZF...","ALBANIA","1998","DEPOSIT RATE","PERCENT PER ANNU","22.56"
"91460...ZF...","ALBANIA","1998","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","23.44"
"91460C..ZF...","ALBANIA","1997","TREASURY BILL RATE","PERCENT PER ANNU","32.5942"
"91460L..ZF...","ALBANIA","1997","DEPOSIT RATE","PERCENT PER ANNU","27.2758"
"91460...ZF...","ALBANIA","1997","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","32"
"91460C..ZF...","ALBANIA","1996","TREASURY BILL RATE","PERCENT PER ANNU","17.805"
"91460P..ZF...","ALBANIA","1996","LENDING RATE","PERCENT PER ANNU","23.9583"
"91460L..ZF...","ALBANIA","1996","DEPOSIT RATE","PERCENT PER ANNU","16.7833"
"91460...ZF...","ALBANIA","1996","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","24"
"91460C..ZF...","ALBANIA","1995","TREASURY BILL RATE","PERCENT PER ANNU","13.8375"
"91460P..ZF...","ALBANIA","1995","LENDING RATE","PERCENT PER ANNU","19.65"
"91460L..ZF...","ALBANIA","1995","DEPOSIT RATE","PERCENT PER ANNU","15.3"
"91460...ZF...","ALBANIA","1995","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","20.5"
"91460P..ZF...","ALBANIA","1994","LENDING RATE","PERCENT PER ANNU","23.6667"
"91460L..ZF...","ALBANIA","1994","DEPOSIT RATE","PERCENT PER ANNU","19.8333"
"91460...ZF...","ALBANIA","1994","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","25"
"91460P..ZF...","ALBANIA","1993","LENDING RATE","PERCENT PER ANNU","29.5833"
"91460L..ZF...","ALBANIA","1993","DEPOSIT RATE","PERCENT PER ANNU","27.3333"
"91460...ZF...","ALBANIA","1993","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","34"
"91460P..ZF...","ALBANIA","1992","LENDING RATE","PERCENT PER ANNU","20.5833"
"91460L..ZF...","ALBANIA","1992","DEPOSIT RATE","PERCENT PER ANNU","18.5"
"91460...ZF...","ALBANIA","1992","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","40"
"61260B..ZF...","ALGERIA","2009","MONEY MARKET RATE","PERCENT PER ANNU","3.67845"
"61260P..ZF...","ALGERIA","2009","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2009","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2009","DEPOSIT RATE","PERCENT PER ANNU","1.75"
"61260C..ZF...","ALGERIA","2008","TREASURY BILL RATE","PERCENT PER ANNU","0.334167"
"61260B..ZF...","ALGERIA","2008","MONEY MARKET RATE","PERCENT PER ANNU","3.26525"
"61260P..ZF...","ALGERIA","2008","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2008","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2008","DEPOSIT RATE","PERCENT PER ANNU","1.75"
"61260C..ZF...","ALGERIA","2007","TREASURY BILL RATE","PERCENT PER ANNU","0.95875"
"61260B..ZF...","ALGERIA","2007","MONEY MARKET RATE","PERCENT PER ANNU","3.1325"
"61260P..ZF...","ALGERIA","2007","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2007","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2007","DEPOSIT RATE","PERCENT PER ANNU","1.75"
"61260C..ZF...","ALGERIA","2006","TREASURY BILL RATE","PERCENT PER ANNU","2.14333"
"61260B..ZF...","ALGERIA","2006","MONEY MARKET RATE","PERCENT PER ANNU","2.05167"
"61260P..ZF...","ALGERIA","2006","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2006","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2006","DEPOSIT RATE","PERCENT PER ANNU","1.75"
"61260C..ZF...","ALGERIA","2005","TREASURY BILL RATE","PERCENT PER ANNU","0.751667"
"61260B..ZF...","ALGERIA","2005","MONEY MARKET RATE","PERCENT PER ANNU","1.42583"
"61260P..ZF...","ALGERIA","2005","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2005","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2005","DEPOSIT RATE","PERCENT PER ANNU","1.9375"
"61260C..ZF...","ALGERIA","2004","TREASURY BILL RATE","PERCENT PER ANNU","0.8675"
"61260B..ZF...","ALGERIA","2004","MONEY MARKET RATE","PERCENT PER ANNU","1.64375"
"61260P..ZF...","ALGERIA","2004","LENDING RATE","PERCENT PER ANNU","8"
"61260...ZF...","ALGERIA","2004","DISCOUNT RATE","PERCENT PER ANNU","4"
"61260L..ZF...","ALGERIA","2004","DEPOSIT RATE","PERCENT PER ANNU","3.64583"
"61260C..ZF...","ALGERIA","2003","TREASURY BILL RATE","PERCENT PER ANNU","1.67167"
"61260B..ZF...","ALGERIA","2003","MONEY MARKET RATE","PERCENT PER ANNU","2.73667"
"61260P..ZF...","ALGERIA","2003","LENDING RATE","PERCENT PER ANNU","8.125"
"61260...ZF...","ALGERIA","2003","DISCOUNT RATE","PERCENT PER ANNU","4.5"
"61260L..ZF...","ALGERIA","2003","DEPOSIT RATE","PERCENT PER ANNU","5.25"
"61260C..ZF...","ALGERIA","2002","TREASURY BILL RATE","PERCENT PER ANNU","2.8625"
"61260B..ZF...","ALGERIA","2002","MONEY MARKET RATE","PERCENT PER ANNU","2.80333"
"61260P..ZF...","ALGERIA","2002","LENDING RATE","PERCENT PER ANNU","8.58333"
"61260...ZF...","ALGERIA","2002","DISCOUNT RATE","PERCENT PER ANNU","5.5"
"61260L..ZF...","ALGERIA","2002","DEPOSIT RATE","PERCENT PER ANNU","5.33333"
"61260C..ZF...","ALGERIA","2001","TREASURY BILL RATE","PERCENT PER ANNU","5.85167"
"61260B..ZF...","ALGERIA","2001","MONEY MARKET RATE","PERCENT PER ANNU","5.37122"
"61260P..ZF...","ALGERIA","2001","LENDING RATE","PERCENT PER ANNU","9.5"
"61260...ZF...","ALGERIA","2001","DISCOUNT RATE","PERCENT PER ANNU","6"
"61260L..ZF...","ALGERIA","2001","DEPOSIT RATE","PERCENT PER ANNU","6.25"
"61260C..ZF...","ALGERIA","2000","TREASURY BILL RATE","PERCENT PER ANNU","9.5375"
"61260B..ZF...","ALGERIA","2000","MONEY MARKET RATE","PERCENT PER ANNU","9.48521"
"61260P..ZF...","ALGERIA","2000","LENDING RATE","PERCENT PER ANNU","10"
"61260...ZF...","ALGERIA","2000","DISCOUNT RATE","PERCENT PER ANNU","6"
"61260L..ZF...","ALGERIA","2000","DEPOSIT RATE","PERCENT PER ANNU","7.5"
"61260C..ZF...","ALGERIA","1999","TREASURY BILL RATE","PERCENT PER ANNU","10.0425"
"61260B..ZF...","ALGERIA","1999","MONEY MARKET RATE","PERCENT PER ANNU","9.99108"
"61260P..ZF...","ALGERIA","1999","LENDING RATE","PERCENT PER ANNU","10.75"
"61260...ZF...","ALGERIA","1999","DISCOUNT RATE","PERCENT PER ANNU","8.5"
"61260L..ZF...","ALGERIA","1999","DEPOSIT RATE","PERCENT PER ANNU","8.25"
"61260C..ZF...","ALGERIA","1998","TREASURY BILL RATE","PERCENT PER ANNU","9.96"
"61260B..ZF...","ALGERIA","1998","MONEY MARKET RATE","PERCENT PER ANNU","10.1304"
"61260P..ZF...","ALGERIA","1998","LENDING RATE","PERCENT PER ANNU","11.5"
"61260...ZF...","ALGERIA","1998","DISCOUNT RATE","PERCENT PER ANNU","9.5"
"61260L..ZF...","ALGERIA","1998","DEPOSIT RATE","PERCENT PER ANNU","9.125"
"61260B..ZF...","ALGERIA","1997","MONEY MARKET RATE","PERCENT PER ANNU","16.6632"
"61260P..ZF...","ALGERIA","1997","LENDING RATE","PERCENT PER ANNU","15.7083"
"61260...ZF...","ALGERIA","1997","DISCOUNT RATE","PERCENT PER ANNU","11"
"61260L..ZF...","ALGERIA","1997","DEPOSIT RATE","PERCENT PER ANNU","12.6042"
"61260B..ZF...","ALGERIA","1996","MONEY MARKET RATE","PERCENT PER ANNU","19.612"
"61260P..ZF...","ALGERIA","1996","LENDING RATE","PERCENT PER ANNU","19"
"61260...ZF...","ALGERIA","1996","DISCOUNT RATE","PERCENT PER ANNU","13"
"61260L..ZF...","ALGERIA","1996","DEPOSIT RATE","PERCENT PER ANNU","14.5"
"61260B..ZF...","ALGERIA","1995","MONEY MARKET RATE","PERCENT PER ANNU","19.6234"
"61260P..ZF...","ALGERIA","1995","LENDING RATE","PERCENT PER ANNU","18.4167"
"61260...ZF...","ALGERIA","1995","DISCOUNT RATE","PERCENT PER ANNU","14"
"61260L..ZF...","ALGERIA","1995","DEPOSIT RATE","PERCENT PER ANNU","16.5833"
"61260C..ZF...","ALGERIA","1994","TREASURY BILL RATE","PERCENT PER ANNU","16.5"
"61260B..ZF...","ALGERIA","1994","MONEY MARKET RATE","PERCENT PER ANNU","19.8"
"61260P..ZF...","ALGERIA","1994","LENDING RATE","PERCENT PER ANNU","16"
"61260...ZF...","ALGERIA","1994","DISCOUNT RATE","PERCENT PER ANNU","21"
"61260L..ZF...","ALGERIA","1994","DEPOSIT RATE","PERCENT PER ANNU","12"
"61260C..ZF...","ALGERIA","1993","TREASURY BILL RATE","PERCENT PER ANNU","9.5"
"61260...ZF...","ALGERIA","1993","DISCOUNT RATE","PERCENT PER ANNU","11.5"
"61260L..ZF...","ALGERIA","1993","DEPOSIT RATE","PERCENT PER ANNU","8"
"61260C..ZF...","ALGERIA","1992","TREASURY BILL RATE","PERCENT PER ANNU","9.5"
"61260...ZF...","ALGERIA","1992","DISCOUNT RATE","PERCENT PER ANNU","11.5"
"61260L..ZF...","ALGERIA","1992","DEPOSIT RATE","PERCENT PER ANNU","8"
"61260C..ZF...","ALGERIA","1991","TREASURY BILL RATE","PERCENT PER ANNU","9.5"
"61260...ZF...","ALGERIA","1991","DISCOUNT RATE","PERCENT PER ANNU","11.5"
"61260L..ZF...","ALGERIA","1991","DEPOSIT RATE","PERCENT PER ANNU","8"
"61260C..ZF...","ALGERIA","1990","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1990","DISCOUNT RATE","PERCENT PER ANNU","10.5"
"61260L..ZF...","ALGERIA","1990","DEPOSIT RATE","PERCENT PER ANNU","8"
"61260C..ZF...","ALGERIA","1989","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1989","DISCOUNT RATE","PERCENT PER ANNU","7"
"61260L..ZF...","ALGERIA","1989","DEPOSIT RATE","PERCENT PER ANNU","8"
"61260C..ZF...","ALGERIA","1988","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1988","DISCOUNT RATE","PERCENT PER ANNU","5"
"61260L..ZF...","ALGERIA","1988","DEPOSIT RATE","PERCENT PER ANNU","4"
"61260C..ZF...","ALGERIA","1987","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1987","DISCOUNT RATE","PERCENT PER ANNU","5"
"61260L..ZF...","ALGERIA","1987","DEPOSIT RATE","PERCENT PER ANNU","4"
"61260C..ZF...","ALGERIA","1986","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1986","DISCOUNT RATE","PERCENT PER ANNU","5"
"61260L..ZF...","ALGERIA","1986","DEPOSIT RATE","PERCENT PER ANNU","4"
"61260C..ZF...","ALGERIA","1985","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1985","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1985","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260C..ZF...","ALGERIA","1984","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1984","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1984","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260C..ZF...","ALGERIA","1983","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1983","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1983","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260C..ZF...","ALGERIA","1982","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1982","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1982","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260C..ZF...","ALGERIA","1981","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1981","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1981","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260C..ZF...","ALGERIA","1980","TREASURY BILL RATE","PERCENT PER ANNU","3.25"
"61260...ZF...","ALGERIA","1980","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260L..ZF...","ALGERIA","1980","DEPOSIT RATE","PERCENT PER ANNU","3"
"61260...ZF...","ALGERIA","1979","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260...ZF...","ALGERIA","1978","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260...ZF...","ALGERIA","1977","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260...ZF...","ALGERIA","1976","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260...ZF...","ALGERIA","1975","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61260...ZF...","ALGERIA","1974","DISCOUNT RATE","PERCENT PER ANNU","2.75"
"61460P..ZF...","ANGOLA","2009","LENDING RATE","PERCENT PER ANNU","15.6821"
"61460...ZF...","ANGOLA","2009","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","30"
"61460L..ZF...","ANGOLA","2009","DEPOSIT RATE","PERCENT PER ANNU","7.58937"
"61460P..ZF...","ANGOLA","2008","LENDING RATE","PERCENT PER ANNU","12.5336"
"61460...ZF...","ANGOLA","2008","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","19.57"
"61460L..ZF...","ANGOLA","2008","DEPOSIT RATE","PERCENT PER ANNU","6.53808"
"61460P..ZF...","ANGOLA","2007","LENDING RATE","PERCENT PER ANNU","17.6988"
"61460...ZF...","ANGOLA","2007","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","19.57"
"61460L..ZF...","ANGOLA","2007","DEPOSIT RATE","PERCENT PER ANNU","6.75643"
"61460P..ZF...","ANGOLA","2006","LENDING RATE","PERCENT PER ANNU","19.5108"
"61460...ZF...","ANGOLA","2006","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","14"
"61460L..ZF...","ANGOLA","2006","DEPOSIT RATE","PERCENT PER ANNU","4.50033"
"61460P..ZF...","ANGOLA","2005","LENDING RATE","PERCENT PER ANNU","67.7181"
"61460...ZF...","ANGOLA","2005","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","95"
"61460L..ZF...","ANGOLA","2005","DEPOSIT RATE","PERCENT PER ANNU","13.3985"
"61460P..ZF...","ANGOLA","2004","LENDING RATE","PERCENT PER ANNU","82.3342"
"61460...ZF...","ANGOLA","2004","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","95"
"61460L..ZF...","ANGOLA","2004","DEPOSIT RATE","PERCENT PER ANNU","15.4393"
"61460P..ZF...","ANGOLA","2003","LENDING RATE","PERCENT PER ANNU","96.115"
"61460...ZF...","ANGOLA","2003","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","150"
"61460L..ZF...","ANGOLA","2003","DEPOSIT RATE","PERCENT PER ANNU","26.1725"
"61460P..ZF...","ANGOLA","2002","LENDING RATE","PERCENT PER ANNU","97.3358"
"61460...ZF...","ANGOLA","2002","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","150"
"61460L..ZF...","ANGOLA","2002","DEPOSIT RATE","PERCENT PER ANNU","48.6908"
"61460P..ZF...","ANGOLA","2001","LENDING RATE","PERCENT PER ANNU","95.9666"
"61460...ZF...","ANGOLA","2001","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","150"
"61460L..ZF...","ANGOLA","2001","DEPOSIT RATE","PERCENT PER ANNU","47.9088"
"61460P..ZF...","ANGOLA","2000","LENDING RATE","PERCENT PER ANNU","103.16"
"61460...ZF...","ANGOLA","2000","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","150"
"61460L..ZF...","ANGOLA","2000","DEPOSIT RATE","PERCENT PER ANNU","39.5784"
"61460P..ZF...","ANGOLA","1999","LENDING RATE","PERCENT PER ANNU","80.2967"
"61460...ZF...","ANGOLA","1999","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","120"
"61460L..ZF...","ANGOLA","1999","DEPOSIT RATE","PERCENT PER ANNU","36.5725"
"61460P..ZF...","ANGOLA","1998","LENDING RATE","PERCENT PER ANNU","45"
"61460...ZF...","ANGOLA","1998","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","58"
"61460L..ZF...","ANGOLA","1998","DEPOSIT RATE","PERCENT PER ANNU","36.875"
"61460P..ZF...","ANGOLA","1997","LENDING RATE","PERCENT PER ANNU","37.75"
"61460...ZF...","ANGOLA","1997","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","48"
"61460L..ZF...","ANGOLA","1997","DEPOSIT RATE","PERCENT PER ANNU","29.25"
"61460P..ZF...","ANGOLA","1996","LENDING RATE","PERCENT PER ANNU","217.875"
"61460...ZF...","ANGOLA","1996","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","2"
"61460L..ZF...","ANGOLA","1996","DEPOSIT RATE","PERCENT PER ANNU","147.125"
"61460P..ZF...","ANGOLA","1995","LENDING RATE","PERCENT PER ANNU","206.25"
"61460...ZF...","ANGOLA","1995","DISCOUNT RATE (END OF PER.)","PERCENT PER ANNU","160"
"61460L..ZF...","ANGOLA","1995","DEPOSIT RATE","PERCENT PER ANNU","125.917"
"31260K.FZF...","ANGUILLA","2009","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","2.15324"
"31260K..ZF...","ANGUILLA","2009","SAVINGS RATE","PERCENT PER ANNU","3.40952"
"31260B..ZF...","ANGUILLA","2009","MONEY MARKET RATE","PERCENT PER ANNU","6.03255"
"31260P.FZF...","ANGUILLA","2009","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","10.1031"
"31260P..ZF...","ANGUILLA","2009","LENDING RATE","PERCENT PER ANNU","9.27366"
"31260...ZF...","ANGUILLA","2009","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"31260L.FZF...","ANGUILLA","2009","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","3.30703"
"31260L..ZF...","ANGUILLA","2009","DEPOSIT RATE","PERCENT PER ANNU","4.72293"
"31260K.FZF...","ANGUILLA","2008","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","2.52963"
"31260K..ZF...","ANGUILLA","2008","SAVINGS RATE","PERCENT PER ANNU","3.75937"
"31260B..ZF...","ANGUILLA","2008","MONEY MARKET RATE","PERCENT PER ANNU","4.92167"
"31260P.FZF...","ANGUILLA","2008","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","9.50341"
"31260P..ZF...","ANGUILLA","2008","LENDING RATE","PERCENT PER ANNU","9.5085"
"31260...ZF...","ANGUILLA","2008","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"31260L.FZF...","ANGUILLA","2008","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","3.6244"
"31260L..ZF...","ANGUILLA","2008","DEPOSIT RATE","PERCENT PER ANNU","4.73604"
